faculty_name,faculty_specialty,faculty_research_topics
"Bertrand, Guy","Inorganic Chemistry, Organic Chemistry",
"Brydges, Stacey","Chemical Education, Inorganic Chemistry",Chemical Education Research and Practice: Development of context-rich curriculum; Use of collaborative learning strategies in large lectures; Communication of chemistry
"Budin, Itay",Biochemistry & Molecular Biophysics,Biochemistry and synthetic biology of cell membranes
"Burkart, Michael","Biochemistry & Molecular Biophysics, Chemical Biology, Materials Chemistry","Natural product synthesis/biosynthesis, Biological chemistry and enzymology, Metabolic engineering."
"Bussey, Thomas","Biochemistry & Molecular Biophysics, Chemical Education","Chemical Education: Visual Literacy in Science, Biochemistry Education, Nano Science Education, K-20 Professional Development, and STEM Career Development"
"Cohen, Seth","Chemical Biology, Inorganic Chemistry, Materials Chemistry, Organic Chemistry",Bioinorganic and coordination chemistry. Metalloprotein inhibitors and supramolecular materials.
"Continetti, Robert","Analytical & Atmospheric Chemistry, Physical Chemistry","Dissociation dynamics of transient species, three-body reaction dynamics, aerosol and ice grain chemistry, and novel mass-spectrometric methods"
"Debelouchina, Galia","Biochemistry & Molecular Biophysics, Chemical Biology","NMR Spectroscopy, Structural Biology, Chemical Biology, Aging, Gene Regulation"
"Deshmukh, Lalit","Biochemistry & Molecular Biophysics, Chemical Biology","Solution NMR spectroscopy, Amyloids, Neurodegenerative diseases, Posttranslational modifications, Viruses"
"Devaraj, Neal","Biochemistry & Molecular Biophysics, Chemical Biology, Organic Chemistry","Biomimetic Chemistry, Artificial Cells, Chemical Biology"
"Donoghue, Daniel ","Biochemistry & Molecular Biophysics, Chemical Biology, Materials Chemistry",Receptor Tyrosine Kinases in Human Cancer
"Ferguson, Fleur","Biochemistry & Molecular Biophysics, Chemical Biology, Organic Chemistry",
"Figueroa, Joshua","Inorganic Chemistry, Materials Chemistry, Organic Chemistry","Inorganic, Organometallic and Materials Chemistry: Synthesis, Small Molecule Activation and New Transformations."
"Galperin, Michael","Physical Chemistry, Theoretical & Computational Chemistry",Electron Transport in Condensed Phases. Dissipation and Relaxation Processes. Non-equilibrium Open Quantum Systems. Molecular Electronics.
"Ghosh, Gourisankar","Biochemistry & Molecular Biophysics, Chemical Biology",
"Ghosh, Partho","Biochemistry & Molecular Biophysics, Chemical Biology","Mechanisms of bacterial and protozoan pathogenesis, and host response against infectious microbes."
"Gilson, Michael","Biochemistry & Molecular Biophysics, Physical Chemistry, Theoretical & Computational Chemistry",The physical basis of drug design and development of computational methods
"Godula, Kamil","Chemical Biology, Materials Chemistry, Organic Chemistry",Nanotechnologies for analysis of glycan function during development. Glycomaterials for stem cell-based tissue regeneration.
"Grassian, Vicki","Analytical & Atmospheric Chemistry, Materials Chemistry, Physical Chemistry","Chemistry of environmental interfaces: atmospheric aerosols, aqueous microdroplets; engineered and geochemical nanomaterials, indoor surfaces"
"Griffith, Kent","Inorganic Chemistry, Materials Chemistry, Physical Chemistry",Not mentioned
"Guseman, Alex",Biochemistry & Molecular Biophysics,
"Hermann, Thomas","Chemical Biology, Materials Chemistry, Organic Chemistry",RNA as a Drug Target and a Material for Nanotechnology
"Herzik, Mark",Biochemistry & Molecular Biophysics,Elucidating the mechanisms of macromolecular transport into and within mitochondria
"Jennings, Patricia","Biochemistry & Molecular Biophysics, Chemical Biology, Inorganic Chemistry","Biophysical chemistry: protein structure, dynamics and folding; 2, 3 and 4D NMR spectroscopy; PCR; equilibrium and kinetic-fluorescence, absorbance and circular dichroism spectroscopies"
"Jinich, Adrian","Biochemistry & Molecular Biophysics, Theoretical & Computational Chemistry",
"Jones, Lisa ","Biochemistry & Molecular Biophysics,  Chemical Biology",The Jones lab uses oxidative labeling for the structural characterization of proteins in their native cellular environment
"Joseph, Simpson",Biochemistry & Molecular Biophysics,Molecular Mechanism of Protein Synthesis
"Kim, Judy","Analytical & Atmospheric Chemistry, Biochemistry & Molecular Biophysics, Chemical Biology,  Physical Chemistry",Biophysical chemistry: Spectroscopic studies of membrane protein folding and dynamics
"Klosterman, Jeremy","Chemical Education,  Organic Chemistry","Supramolecular Chemistry, Organic Photophysics, Crystal Engineering and Playing with Molecules in 3D"
"Komives, Elizabeth","Biochemistry & Molecular Biophysics, Chemical Education","Structure, function, dynamics and thermodynamics of protein-protein interactions: NMR, mass spectrometry and kinetics"
"Komor, Alexis","Biochemistry & Molecular Biophysics, Chemical Biology",DNA damage and repair; Genome editing
"Kubiak, Clifford","Analytical & Atmospheric Chemistry, Inorganic Chemistry, Materials Chemistry, Physical Chemistry","Inorganic, materials, and physical chemistry: electron transfer, catalysis, fixation and utilization of carbon dioxide."
"Kummel, Andrew","Analytical & Atmospheric Chemistry, Materials Chemistry",STM/STS of gate oxides on compound semiconductors and adsorbates on organic semiconductor
"Leigh, Brian","Chemical Education,  Physical Chemistry","Energetic materials, Forensic science, Lab learning and curriculum"
"Li, Shaowei","Analytical & Atmospheric Chemistry, Materials Chemistry, Physical Chemistry, Theoretical & Computational Chemistry","scanning tunneling spectroscopy and microscopy, ultrafast laser spectroscopy and microscopy, surface dynamics and kinetics, low dimensional quantum materials, strongly correlated systems"
"McHugh, Colleen","Biochemistry & Molecular Biophysics,  Chemical Biology",RNA-protein interactions; Assembly of RNPs; Structural biology of multimeric complexes
"Mishanina, Tatiana",Biochemistry & Molecular Biophysics,Transcription and its regulation; RNA polymerase structure and function in bacteria and human mitochondria
"Molinski, Tadeusz","Chemical Biology, Organic Chemistry","Organic chemistry of marine natural products, synthesis, NMR, and biomedical applications"
"Muller, Ulrich","Biochemistry & Molecular Biophysics,  Chemical Biology","Evolution of catalytic RNAs, and the Origin of Life"
"O'Connor, Joseph","Chemical Biology, Inorganic Chemistry, Organic Chemistry",Organotransition metal; synthesis; organic chemistry; physical organic chemistry; bioorganometallic chemistry; inorganic chemistry; chemical biology
"Ortony, Julia","Materials Chemistry, Organic Chemistry, Physical Chemistry",
"Paesani, Francesco","Inorganic Chemistry, Materials Chemistry, Physical Chemistry, Theoretical & Computational Chemistry",Quantum dynamics and statistical mechanics from the gas to the condensed phase
"Pomeroy, Robertx",Chemical Education,"The application of analytical chemistry to forensic, environmental and industrial chemistry, then bridge these experiences into the classroom. This also includes the role technology and instrumentation play in discovery and problem solving."
"Prather, Kimberly","Analytical & Atmospheric Chemistry,  Physical Chemistry","Environmental, physical/analytical chemistry: gas/particle processes of tropospheric significance; mass spectrometry; laser-based analysis techniques."
"Pun, Andrew","Materials Chemistry, Organic Chemistry, Physical Chemistry","Photochemistry, materials chemistry, excitonic materials"
"Rinehart, Jeffrey","Inorganic Chemistry,  Materials Chemistry,  Physical Chemistry","Inorganic, materials, and magnetochemistry"
"Romero, Erik",Organic Chemistry,"Organic synthesis and methodology development, catalysis, photoredox chemistry, mechanistic investigation"
"Romero, Nathan","Inorganic Chemistry, Materials Chemistry,  Organic Chemistry","Polymer synthesis, organic methodology, catalysis, materials science"
"Sailor, Michael","Inorganic Chemistry, Materials Chemistry","Nanomaterials: porous silicon, chemical and biological sensors, biomaterials, electrochemistry"
"Schimpf, Alina","Inorganic Chemistry,  Materials Chemistry,  Physical Chemistry","Spectroscopy, Inorganic Chemistry, Nanoscale Materials"
"Schmidt, Valerie","Inorganic Chemistry, Organic Chemistry","Organic Synthesis, Catalysis, Organometallic Synthesis, Methodology Development"
"Schoeneberg, Johannes","Biochemistry & Molecular Biophysics, Theoretical & Computational Chemistry","4D adaptive optics lattice light-sheet imaging, petabyte scale image processing, machine learning, mitochondrial dynamics, organoids"
"Siegel, Dionicio",Organic Chemistry,Complex Molecule Synthesis
"Sinha, Amitabha","Analytical & Atmospheric Chemistry, Physical Chemistry",Experimental physical chemistry: photochemistry; laser spectroscopy; reaction dynamics of vibrationally excited molecules
"Slade, Jonathan","Analytical & Atmospheric Chemistry, Physical Chemistry","Physical and Analytical Atmospheric Chemistry: Multiphase Chemistry and Kinetics of Atmospheric Aerosols and Trace Gases, and their Impacts on Air Quality and Climate"
"Sous, John ","Materials Chemistry, Theoretical & Computational Chemistry",Quantum condensed matter
"Stallings, Dontarie","Biochemistry & Molecular Biophysics, Chemical Education","Science Policy (w.r.t. Equity, Diversity, and Inclusion) | Programmatic Evaluation"
"Stauber, Julia","Biochemistry & Molecular Biophysics,  Inorganic Chemsitry,  Materials Chemistry,  Organic Chemistry","Inorganic synthesis, organometallic synthesis, bioinorganic chemistry"
"Tauber, Michael","Analytical & Atmospheric Chemistry, Materials Chemistry, Physical Chemistry",Physical chemistry; Optical and magnetic spectroscopy; Fundamental studies of charge transport and solvation; Applications to energy conversion and energy storage.
"Taylor, Susan","Biochemistry & Molecular Biophysics, Chemical Biology","Structure, Function, Dynamics, and Localization of PKA as a Prototype for the Protein Kinase Superfamily."
"Tezcan, Akif","Biochemistry & Molecular Biophysics, Chemical Biology, Inorganic Chemistry, Materials Chemistry","Bioinorganic and biophysical chemistry; Materials and Biomaterials Chemistry, Protein Structure, Function and Evolution"
"Theodorakis, Emmanuel","Chemical Biology, Organic Chemistry","Synthetic, Medicinal, Bioorganic and Biological Chemistry, Methods and Strategies in Natural Products Chemistry"
"Thiemens, Mark","Analytical & Atmospheric Chemistry,  Physical Chemistry",Atmospheric chemistry: physical chemistry of isotope effects; solar system formation
"Toor, Navtej","Biochemistry & Molecular Biophysics,  Chemical Biology",Structure and Function of Introns and Retroelements
"Tor, Yitzhak","Chemical Biology, Organic Chemistry",Ligand-nucleic acid interactions; Antiviral and antibacterial agents; Fluorescent nucleosides and nucleotides; Cellular delivery vehicles
"Wang, Dong",Biochemistry & Molecular Biophysics,"Transcription, Epigenetics, Chromatin Biology, DNA repair"
"Wang, Wei","Biochemistry & Molecular Biophysics,  Chemical Biology,  Theoretical & Computational Chemistry","epigenomics, cellular reprogramming, protein recognition, computational biology, systems biology"
"Weizman, Haim","Chemical Biology, Chemical Education, Organic Chemistry","Chemical education, Bioorganic chemistry"
"Xiong, Wei","Analytical & Atmospheric Chemistry, Materials Chemistry,  Physical Chemistry",Strong-coupling Chemistry and Dynamics; Interfacial Charge transfer; Molecular Structure and Dynamics of Self-Assembled Materials
"Yang, Jerry","Biochemistry & Molecular Biophysics, Chemical Biology,  Organic Chemistry","Bioorganic Chemistry, Molecular Self-Assembly, Molecular Synthesis, Materials Chemistry, Bionanotechnology"
"Yong, Haiwang","Analytical & Atmospheric Chemistry, Physical Chemistry, Theoretical & Computational Chemistry",Experimental Physical Chemistry; Theoretical Spectroscopy; Ultrafast X-ray/Electron Scattering; Ultrafast Molecular Spectroscopy; Chemical Dynamics; Chirality
"Young, Mark","Analytical & Atmospheric Chemistry, Chemical Education, Physical Chemistry","Chemistry of the atmosphere, hydrosphere, and lithosphere"
"Yuen-Zhou, Joel","Physical Chemistry, Theoretical & Computational Chemistry",Quantum molecular photonics
"Zid, Brian ",Biochemistry & Molecular Biophysics,Gene Expression Control During Stress; mRNA Localization to Membrane-Less Compartments
